   31-Oct-2019 13:23:47

=============================================================================
Please enter the name of the location you are interested in: [noh][ugn][ord] 
ord

temp_table

temp_table =

  21976×12 <a href="matlab:helpPopup table" style="font-weight:bold">table</a>

    <strong>Var1</strong>        <strong>Date</strong>       <strong>max</strong>    <strong>min</strong>      <strong>mean</strong>         <strong>dewpt</strong>       <strong>windS</strong>     <strong>windD</strong>      <strong>peak</strong>      <strong>atm</strong>       <strong>sea</strong>      <strong>precip</strong>
    <strong>_____</strong>    <strong>__________</strong>    <strong>___</strong>    <strong>___</strong>    <strong>_________</strong>    <strong>_________</strong>    <strong>_______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>    <strong>______</strong>

        0    1958-11-01     56     45       50.042       39.375     7.5417    121.61       NaN    992.92    1015.8        0 
        1    1958-11-02     51     42       46.167       38.292     5.0833    149.21       NaN    990.56    1013.5        0 
        2    1958-11-03     61     35       47.375       37.542        8.5    221.26       NaN    991.46    1014.5        0 
        3    1958-11-04     69     42       54.958       39.083     10.042    213.96       NaN     986.2    1008.9        0 
        4    1958-11-05     57     40        50.75       38.542     18.792    242.17       NaN    981.45      1004        0 
        5    1958-11-06     49     32        40.25           22     11.667    281.46       NaN    993.33    1016.7        0 
        6    1958-11-07     54     28        43.25       23.875     10.417    198.96       NaN    992.32    1015.5        0 
        7    1958-11-08     51     41       46.458       33.208     15.625       227       NaN    979.85    1002.6     0.15 
        8    1958-11-09     50     39        43.25       28.042       15.5    275.83       NaN    978.39    1001.2        0 
        9    1958-11-10     51     34       42.125       27.375     10.542    278.63       NaN    993.52    1016.7        0 
       10    1958-11-11     62     39       49.875       30.458     12.542    231.71       NaN    995.42    1018.5        0 
       11    1958-11-12     55     44       49.417       37.667     6.5417    69.583       NaN    999.33    1022.4     0.17 
       12    1958-11-13     64     50         57.5        50.25       9.75    184.04       NaN    990.88    1013.7     0.11 
       13    1958-11-14     71     59       63.292       54.667      14.75    214.79       NaN    987.93    1010.4     0.07 
       14    1958-11-15     61     50        54.25        52.25     10.833    110.83       NaN    988.79    1011.3     0.54 
       15    1958-11-16     65     50       57.208       54.958     9.3333    138.13       NaN    993.42    1016.2     0.02 
       16    1958-11-17     72     62       66.583       62.708     16.083    185.75       NaN    986.37    1008.8     0.02 
       17    1958-11-18     55     37       42.583       31.083     21.125     237.5       NaN    987.06    1009.9     0.03 
       18    1958-11-19     51     34       41.042       30.125     13.125    242.13       NaN    993.08    1016.4        0 
       19    1958-11-20     52     36       43.875       31.292         13    268.29       NaN    995.75    1018.9        0 
       20    1958-11-21     45     32       39.167       27.208          7       199       NaN    996.13    1019.5        0 
       21    1958-11-22     48     34       41.208       30.417        8.5    197.96       NaN    998.56    1021.9        0 
       22    1958-11-23     59     38       46.125       35.917     11.917    164.29       NaN    992.78    1015.9        0 
       23    1958-11-24     43     37       39.875         30.5     10.667    73.375       NaN      1001    1024.3     0.14 
       24    1958-11-25     47     30       39.125       34.542     16.375     191.5       NaN    991.31    1014.6     0.26 
       25    1958-11-26     28     18       22.875        12.25     22.583    280.46       NaN    995.77    1019.5        0 
       26    1958-11-27     26     14       20.167       10.792     8.0833    269.33       NaN    1002.7    1026.7        0 
       27    1958-11-28     24     18       20.875       15.708     11.083    281.38       NaN    995.96    1019.7     0.07 
       28    1958-11-29     23      5       15.333       4.2917     18.583    295.58       NaN    1001.8    1025.8        0 
       29    1958-11-30     21      2       12.583      0.20833     12.458    236.91       NaN    1011.1    1035.8        0 
       30    1958-12-01     31     17       23.833       16.917     8.4583    260.88       NaN      1002      1026        0 
       31    1958-12-02     36     21       28.208           24     10.542     206.5       NaN    997.52    1021.4        0 
       32    1958-12-03     38     32        35.25       33.083     11.083    221.58       NaN     980.4    1003.4        0 
       33    1958-12-04     41     31       36.167       24.333     14.958    273.04       NaN    977.08      1000        0 
       34    1958-12-05     30     13       19.708         5.25     19.792       288       NaN    990.38      1014        0 
       35    1958-12-06     17      6       11.458      -1.1667         18    297.42       NaN    1005.4    1029.7        0 
       36    1958-12-07     14      8       11.625       4.5417      9.875    277.71       NaN    1005.8    1030.2     0.05 
       37    1958-12-08     14      2       10.417       6.5833     8.7917    310.54       NaN    998.89    1023.1     0.21 
       38    1958-12-09      3     -7      -2.5417      -8.9167     12.458    274.88       NaN      1007    1031.9        0 
       39    1958-12-10     14     -6          4.5      -1.9167     7.2083    242.13       NaN    1009.4    1034.2        0 
       40    1958-12-11     21      9       15.542       11.208        7.5    248.71       NaN    999.44    1023.5     0.07 
       41    1958-12-12     14      5       9.2083        4.125     12.292    307.63       NaN    997.11    1021.3     0.04 
       42    1958-12-13     17     -2       5.4167     -0.95833      7.625    278.63       NaN    1007.8    1032.4        0 
       43    1958-12-14     15     -1         5.25    -0.041667     11.917    255.25       NaN    1005.6    1030.2     0.02 
       44    1958-12-15     15     -7       4.4167      -1.8333     12.333    251.54       NaN    1004.8    1029.4        0 
       45    1958-12-16     36      9       21.667       14.917     12.958    228.96       NaN    996.82    1020.8        0 
       46    1958-12-17     37     17       24.042       17.167     13.375    280.54       NaN       997    1020.7        0 
       47    1958-12-18     38     18       28.083        21.75     10.417    238.29       NaN    993.38    1017.1        0 
       48    1958-12-19     41     17       31.375       25.375     15.542       229       NaN    989.21    1012.5        0 
       49    1958-12-20     23     13       17.542       11.708     10.125    282.29       NaN    1003.5    1027.6        0 
       50    1958-12-21     25     15       20.167       14.125       5.75    191.54       NaN    1005.4    1029.5     0.01 
       51    1958-12-22     46     23       33.083       26.042      9.625    191.46       NaN    994.96    1018.6        0 
       52    1958-12-23     41     29        34.75       28.708     10.208    308.67       NaN    991.23    1014.5        0 
       53    1958-12-24     30     26       27.625       17.542     12.125    284.25       NaN    999.83    1023.6        0 
       54    1958-12-25     37     27       30.583       23.083          8     174.3       NaN    1005.4    1029.1        0 
       55    1958-12-26     38     26       31.375       22.417     11.792    188.71       NaN    1001.4    1025.1        0 
       56    1958-12-27     46     35         38.5       30.458     10.292    225.17       NaN     995.5    1018.9     0.02 
       57    1958-12-28     51     30       39.125       30.667     7.2917    173.67       NaN     997.1    1020.5        0 
       58    1958-12-29     41     31       35.833       32.083     11.083    181.25       NaN    1002.2    1025.8        0 
       59    1958-12-30     31     24       27.583       18.125     13.375        78       NaN    1010.4    1034.3        0 
       60    1958-12-31     31     24       26.458       22.083      8.125     88.25       NaN    1001.3    1025.1     0.15 
       61    1959-01-01     34     27       31.375       29.208     10.875    176.46       NaN    981.43    1004.6     0.14 
       62    1959-01-02     36     24       31.042       26.792       9.75    228.04       NaN    983.35    1006.7        0 
       63    1959-01-03     27      2       9.6667       6.2083     16.292    330.33       NaN    990.76    1014.6     0.18 
       64    1959-01-04      1     -7      -2.8333       -11.75     16.583    301.04       NaN    1001.6    1026.3     0.04 
       65    1959-01-05      9    -10     0.041667       -8.125     10.958    255.17       NaN    1011.1    1036.2        0 
       66    1959-01-06     22      3        13.75         6.75      9.125    180.25       NaN    1003.2    1027.6        0 
       67    1959-01-07     30     22       26.458         20.5     6.7917    83.091       NaN    998.28      1022        0 
       68    1959-01-08     27     15        23.25       16.583     11.917    188.67       NaN    1004.9    1028.9        0 
       69    1959-01-09     22     10       15.708        9.875     11.292    318.88       NaN    1007.5    1031.7        0 
       70    1959-01-10     26      8       16.583       8.5833     6.7083    302.08       NaN    1006.3    1030.6        0 
       71    1959-01-11     35     16       25.417        16.75     6.7917    161.21       NaN    1005.8    1029.9        0 
       72    1959-01-12     36     25       31.042       25.625      9.625    233.58       NaN    998.92    1022.6        0 
       73    1959-01-13     41     24       33.458       28.083     6.4583    192.87       NaN    997.61    1021.2        0 
       74    1959-01-14     42     34       39.292       37.792     8.0833    251.54       NaN    986.72    1009.8        0 
       75    1959-01-15     35      3       22.917       15.917     17.708    321.75       NaN     987.8    1011.2        0 
       76    1959-01-16     13      2        7.625      -1.7083     19.958    307.67       NaN    986.62    1010.6        0 
       77    1959-01-17     12     -1       5.0417      -5.1667       14.5    290.75       NaN    991.38    1015.6        0 
       78    1959-01-18     26      0       12.083       2.0833     14.208    226.08       NaN    990.79    1014.9     0.08 
       79    1959-01-19     32     14         22.5       15.958     10.917    284.78       NaN    988.14    1011.8     0.19 
       80    1959-01-20     28     11       22.042       17.583     9.7083    103.05       NaN    991.42    1015.1      0.5 
       81    1959-01-21     29      9       23.208       21.292     19.167    178.29       NaN    977.85    1001.1     0.53 
       82    1959-01-22     10     -3        3.625       -4.625     17.542    261.83       NaN    994.36    1018.7     0.01 
       83    1959-01-23      6     -9     -0.79167      -9.4583     11.125    257.04       NaN    1006.3    1031.1        0 
       84    1959-01-24     39      7           25       19.792     10.417    215.83       NaN     995.8    1019.8        0 
       85    1959-01-25     31     22       25.333       21.625     9.7083    50.833       NaN     995.7    1019.4     0.21 
       86    1959-01-26     24     17       20.458        14.25     8.8333    120.29       NaN    998.33    1022.3        0 
       87    1959-01-27     23      6       15.083       7.4583     7.8333    271.08       NaN    1000.3    1024.4        0 
       88    1959-01-28     34     13       23.542       19.958     9.6667    208.29       NaN    996.21      1020        0 
       89    1959-01-29     37     27       32.292         30.5     8.2083    179.29       NaN    990.08    1013.5     0.25 
       90    1959-01-30     35     12       25.792       20.042     13.333    317.13       NaN      1002    1025.7        0 
       91    1959-01-31     15      2       7.6667           -5     10.083    323.58       NaN    1014.9    1039.6        0 
       92    1959-02-01     18      2       9.1667       -0.875     10.167    331.08       NaN    1020.6    1045.5        0 
       93    1959-02-02     20     -2            9     -0.16667       8.25    256.08       NaN    1014.4    1039.1        0 
       94    1959-02-03     35     14       25.417       21.375     15.542    217.71       NaN    983.34    1006.9      0.2 
       95    1959-02-04     33     11       22.375       16.708      12.25    225.29       NaN     978.6    1001.9        0 
       96    1959-02-05     20      6       12.958        6.625     16.042    264.63       NaN    992.11      1016        0 
       97    1959-02-06     23      0       10.333       2.0417     10.875    230.83       NaN    1006.4    1030.8        0 
       98    1959-02-07     42     24       32.667       23.542     11.958    217.67       NaN    998.17    1021.9        0 
       99    1959-02-08     31     22       25.125       20.958     13.792    73.417       NaN    999.05    1022.7        0 
      100    1959-02-09     39     26       34.667       34.042     9.0833    165.21       NaN    984.49    1007.8     0.71 
      101    1959-02-10     33     17       28.417       26.792     10.917     222.3       NaN    981.41    1004.5     0.35 
      102    1959-02-11     29     14       20.583       16.208      8.375    241.08       NaN    1008.7    1032.9        0 
      103    1959-02-12     40     24       33.208       27.958     14.417    198.21       NaN    998.53    1022.3     0.11 
      104    1959-02-13     38     35       36.333       33.833      6.875    122.13       NaN    996.32    1019.7        0 
      105    1959-02-14     39     23       33.458        30.25       14.5    229.96       NaN    991.36    1014.8     0.23 
      106    1959-02-15     32     25       28.167       23.167       11.5    273.96       NaN    1001.7    1025.5        0 
      107    1959-02-16     37     29       32.208       26.167     11.583    272.88       NaN    992.41    1015.9        0 
      108    1959-02-17     31     23       28.125        20.25     10.042     146.5       NaN       988    1011.4     0.04 
      109    1959-02-18     23      9       16.875       9.1667     16.625    328.42       NaN    994.18      1018     0.01 
      110    1959-02-19     10      1        5.625      -7.0417     14.083    308.67       NaN    1003.6      1028        0 
      111    1959-02-20     21      0       11.083      -2.4167     14.833    258.21       NaN    1005.4    1029.9        0 
      112    1959-02-21     37     21       28.625       19.792       14.5    258.92       NaN    1002.1      1026        0 
      113    1959-02-22     47     28       36.208       28.167     11.458    209.33       NaN    997.73    1021.2     0.26 
      114    1959-02-23     40     31       36.458       30.625       16.5    273.88       NaN    984.83      1008     0.29 
      115    1959-02-24     35     24       28.833       19.708     7.0417    229.79       NaN    1000.9    1024.6        0 
      116    1959-02-25     45     26       34.708       26.458     8.7083    211.17       NaN    996.86    1020.4        0 
      117    1959-02-26     40     33       35.958       32.542      8.625    259.43       NaN    990.81    1014.1     0.19 
      118    1959-02-27     53     32       40.542       34.458     9.8333    149.25       NaN    990.47    1013.7        0 
      119    1959-02-28     38     32       35.333       28.208     11.542    277.75       NaN    991.01    1014.3        0 
      120    1959-03-01     41     30       35.667       26.167     6.9583    276.71       NaN    990.88    1014.2        0 
      121    1959-03-02     50     32       39.083       30.417      16.75    222.42       NaN    981.48    1004.5     0.02 
      122    1959-03-03     38     27        31.75       24.708     17.208    270.17       NaN    983.11    1006.3     0.03 
      123    1959-03-04     38     24       31.042       21.333     9.4167    214.88       NaN    997.65    1021.3        0 
      124    1959-03-05     45     33       36.625        31.75     12.667    105.13       NaN    983.42    1006.5     0.82 
      125    1959-03-06     40     24       30.583       26.792      18.75    261.79       NaN    968.84    991.64     0.11 
      126    1959-03-07     35     19       27.458       15.542     9.9583    270.21       NaN    994.09    1017.8        0 
      127    1959-03-08     47     31       38.417       30.667     9.1667    182.96       NaN    990.22    1013.5     0.04 
      128    1959-03-09     35     29       30.958       26.917     10.333    105.29       NaN     990.8    1014.1        0 
      129    1959-03-10     36     29         31.5       23.333      7.125    64.917       NaN    993.81    1017.3        0 
      130    1959-03-11     38     30       33.417       25.042     5.4583    105.55       NaN     993.9    1017.4        0 
      131    1959-03-12     39     28       32.458       27.667     9.7083    305.96       NaN     988.9    1012.3     0.06 
      132    1959-03-13     44     23       32.958       27.458      8.375    202.67       NaN    986.36    1009.6     0.01 
      133    1959-03-14     40     31       36.417       32.958     9.4583    66.826       NaN    982.68    1005.7     0.23 
      134    1959-03-15     46     26       34.042           28     23.833    255.17       NaN     977.1      1000     0.48 
      135    1959-03-16     38     22       29.417       18.958     19.417    274.83       NaN    993.36    1016.9     0.13 
      136    1959-03-17     28     16       22.792       12.458     13.792    302.17       NaN    1001.4    1025.2        0 
      137    1959-03-18     44     19       32.583       19.625     12.875    192.96       NaN    1005.8    1029.6        0 
      138    1959-03-19     66     39           52       34.292     16.083    210.25       NaN    996.57    1019.7        0 
      139    1959-03-20     53     39       46.917       33.167     8.0417    159.63       NaN    995.04      1018        0 
      140    1959-03-21     39     23           30       15.042     16.458    323.79       NaN    999.19    1022.7        0 
      141    1959-03-22     40     20       30.042       13.458     10.458    221.42       NaN    1001.7    1025.5        0 
      142    1959-03-23     67     32       49.292        26.25     13.875       215       NaN    993.22    1016.4        0 
      143    1959-03-24     74     42        56.25         32.5        8.5    180.33       NaN    992.02    1014.7        0 
      144    1959-03-25     45     38       40.792         33.5         14    40.542       NaN    997.08    1020.2     0.06 
      145    1959-03-26     39     35       37.792       35.292     15.667     62.25       NaN    989.27    1012.5     1.35 
      146    1959-03-27     42     33       36.667       24.667     17.833    33.125       NaN    995.58      1019     0.13 
      147    1959-03-28     39     29       34.417       17.792       7.75    93.917       NaN    1005.7    1029.4        0 
      148    1959-03-29     47     34       38.875       26.917     5.9583    129.35       NaN    998.13    1021.6        0 
      149    1959-03-30     54     31       43.125       36.875     8.7917    149.29       NaN    992.93    1016.1     0.36 
      150    1959-03-31     62     48           52       44.333      8.625    220.54       NaN     989.6    1012.4     0.08 
      151    1959-04-01     47     38       41.958         38.5     14.125    133.42       NaN    985.92    1008.9     0.51 
      152    1959-04-02     60     38         48.5       39.917     11.792       260       NaN    979.63    1002.4     0.06 
      153    1959-04-03     52     41       47.083       36.042     20.292    292.79       NaN    978.61    1001.3     0.05 
      154    1959-04-04     61     34           48       28.875     10.667    243.17       NaN    991.44    1014.5        0 
      155    1959-04-05     64     47       54.125       32.913     16.458    269.29       NaN    987.64    1010.3     0.03 
      156    1959-04-06     62     39         50.5       26.458      7.875    215.83       NaN    997.45    1020.4        0 
      157    1959-04-07     70     51       58.833       39.625     13.583    236.46       NaN    990.27      1013     0.12 
      158    1959-04-08     53     35         44.5       33.125     9.5417    182.13       NaN    995.01      1018     0.08 
      159    1959-04-09     44     35       38.625       30.417       9.25    161.63       NaN    1001.6    1025.1        0 
      160    1959-04-10     39     33         35.5       27.875     9.0417    77.125       NaN      1004    1027.6     0.04 
      161    1959-04-11     43     27       36.458       20.542     7.7083    125.83       NaN    1007.1    1030.8        0 
      162    1959-04-12     48     35       41.208       24.292      7.625     60.25       NaN    1004.8    1028.2        0 
      163    1959-04-13     55     32       44.375       22.583       8.75    274.88       NaN    999.96    1023.3        0 
      164    1959-04-14     65     38       52.208         24.5     11.583    264.58       NaN    998.53    1021.6        0 
      165    1959-04-15     73     42       58.333       29.458     13.167    210.21       NaN    994.19      1017        0 
      166    1959-04-16     76     47       62.167       38.333     11.208    224.25       NaN    993.08    1015.7        0 
      167    1959-04-17     75     58       65.375         52.5     15.667    203.83       NaN    990.49    1012.9     0.07 
      168    1959-04-18     60     43       52.333       45.625     10.125     192.5       NaN    992.62    1015.4        0 
      169    1959-04-19     43     37       39.708       33.833     13.458    53.667       NaN    993.36    1016.6     0.38 
      170    1959-04-20     41     34       38.583        28.25     12.875     60.25       NaN    994.62      1018     0.07 
      171    1959-04-21     45     35       39.583       20.958     9.4167    156.59       NaN    1000.2    1023.6        0 
      172    1959-04-22     59     32       47.208       22.792     5.0417    213.52       NaN    996.99    1020.2        0 
      173    1959-04-23     69     42       55.875       30.125     10.708    226.17       NaN    993.91    1016.7        0 
      174    1959-04-24     60     50       53.708       38.875     7.9167     160.5       NaN     990.8    1013.5        0 
      175    1959-04-25     77     49       58.208        46.75     9.2917     118.7       NaN    988.54    1011.1     0.02 
      176    1959-04-26     50     43       46.458       37.208     11.583    62.208       NaN    994.02      1017     0.25 
      177    1959-04-27     50     42       45.708       43.917     10.125    95.792       NaN     984.9    1007.8     1.92 
      178    1959-04-28     64     45        52.25       44.042     15.125       244       NaN    974.44    996.94      0.4 
      179    1959-04-29     66     49       58.167       39.042      12.75    264.63       NaN    981.23    1003.7        0 
      180    1959-04-30     64     48       53.167       38.417      7.625    116.78       NaN    987.05    1009.6        0 
      181    1959-05-01     75     44       60.792       39.375     9.4167    155.88       NaN    992.89    1015.6        0 
      182    1959-05-02     90     61       75.792       58.167     12.833    217.79       NaN    990.12    1012.4        0 
      183    1959-05-03     88     68       75.125       61.583      10.75     190.5       NaN    992.21    1014.4     0.06 
      184    1959-05-04     89     63       77.458       63.167     7.5417    163.29       NaN       993    1015.3        0 
      185    1959-05-05     91     70       80.417       66.125     9.7083    165.29       NaN    993.28    1015.3     0.04 
      186    1959-05-06     86     57       76.917        61.25      14.25    223.29       NaN    991.88      1014        0 
      187    1959-05-07     57     46       51.917           37      11.25    145.54       NaN    1005.5    1028.6        0 
      188    1959-05-08     63     45       53.292        31.75      7.125     75.25       NaN    1006.5    1029.6        0 
      189    1959-05-09     70     49       60.458       39.125     10.083    132.29       NaN    993.99    1016.8        0 
      190    1959-05-10     82     61       72.083       59.458     17.083    192.46       NaN    983.39    1005.6     0.07 
      191    1959-05-11     74     55       65.292       53.417     11.458    246.79       NaN    990.49    1012.8     0.63 
      192    1959-05-12     75     58        65.75       48.833      9.125    262.71       NaN    996.43    1019.1     0.01 
      193    1959-05-13     64     49       56.625        40.25         17     278.5       NaN    992.12    1014.6        0 
      194    1959-05-14     51     44       47.917       33.875     10.375    196.25       NaN    995.18    1018.2        0 
      195    1959-05-15     51     40       45.083       31.792     9.4167    149.29       NaN    996.99    1020.1        0 
      196    1959-05-16     67     41       54.875       34.708     14.375       243       NaN    994.59    1017.5        0 
      197    1959-05-17     73     51       60.875       43.458      11.25    208.42       NaN    992.73    1015.4        0 
      198    1959-05-18     78     56       66.083       55.458     13.875    183.92       NaN    988.03    1010.4      0.2 
      199    1959-05-19     89     64       74.542       64.917     15.625    208.42       NaN    986.15    1008.3     0.21 
      200    1959-05-20     78     65       71.583       65.208     12.667    163.46       NaN    991.89    1014.1     1.09 
      201    1959-05-21     84     66           75       64.833     10.833    225.29       NaN    990.76      1013        0 
      202    1959-05-22     72     47       57.917       51.667     14.708       110       NaN    996.13    1018.7      0.4 
      203    1959-05-23     57     49        52.75       48.875      9.125       183       NaN    998.34    1021.3     0.27 
      204    1959-05-24     72     43       58.708       48.208     6.2083     157.7       NaN    1002.3    1025.3        0 
      205    1959-05-25     77     57           68       57.333     10.625    174.63       NaN    995.85    1018.5        0 
      206    1959-05-26     84     65       73.292       66.125      13.25    185.92       NaN    991.36    1013.6     0.31 
      207    1959-05-27     83     67       74.583       63.125     11.708    222.38       NaN    996.17    1018.5      0.1 
      208    1959-05-28     85     65       74.458       65.208     12.083    197.08       NaN     998.1    1020.5     0.35 
      209    1959-05-29     80     65       72.208       62.542     9.4167    225.29       NaN    994.12    1016.5        0 
      210    1959-05-30     71     61       65.792         60.5      6.125    88.182       NaN    994.52    1016.9     0.09 
      211    1959-05-31     85     62       75.125       65.083     12.833     220.5       NaN    989.17    1011.4     0.04 
      212    1959-06-01     71     55       61.958       51.667     12.833    149.25       NaN    993.06    1015.5     0.02 
      213    1959-06-02     71     52       61.875       44.792      9.125    80.833       NaN    994.85    1017.6        0 
      214    1959-06-03     83     56       70.042       49.208     7.0417    218.63       NaN     995.2    1017.7        0 
      215    1959-06-04     86     64           75       50.708       6.75    194.33       NaN    995.72    1018.1        0 
      216    1959-06-05     83     63       73.542       52.542      6.375    180.33       NaN    992.91    1015.3        0 
      217    1959-06-06     81     64       73.542       56.292     5.9167    181.13       NaN    993.37    1015.7        0 
      218    1959-06-07     92     64       78.375       56.417      6.375    160.54       NaN    994.76      1017        0 
      219    1959-06-08     93     70       82.125       57.167     9.9167    210.25       NaN    996.13    1018.3        0 
      220    1959-06-09     91     72       81.375       57.625     9.7083    196.13       NaN    994.93      1017        0 
      221    1959-06-10     85     72       78.375       63.667         12    155.88       NaN    991.88    1013.9     0.18 
      222    1959-06-11     84     69           77       67.042      9.875    211.17       NaN    988.37    1010.4        0 
      223    1959-06-12     90     71       79.708       55.583     14.333    277.71       NaN    988.11    1010.1        0 
      224    1959-06-13     70     56       61.625       43.167     13.417    128.71       NaN    996.16    1018.7        0 
      225    1959-06-14     70     51       62.583       39.583     5.6667    151.13       NaN     999.2    1021.9        0 
      226    1959-06-15     77     59       66.875       49.583     7.9167    109.83       NaN    995.42    1017.9     0.01 
      227    1959-06-16     73     61       67.875       43.958     11.167    96.792       NaN    993.04    1015.4        0 
      228    1959-06-17     71     57       64.667           48     8.6667     60.25       NaN    994.71    1017.3        0 
      229    1959-06-18     73     60       66.208        49.25     6.2083    96.875       NaN    995.27      1018        0 
      230    1959-06-19     79     55       69.125       49.458     6.4167    200.79       NaN    995.08    1017.6        0 
      231    1959-06-20     80     66       72.125        58.25     7.0417    133.38       NaN     992.4    1014.7        0 
      232    1959-06-21     91     63           77       56.875       7.25    219.37       NaN    987.23    1009.4     0.02 
      233    1959-06-22     73     61         66.5       49.542     11.042    94.958       NaN    989.95    1012.2        0 
      234    1959-06-23     77     57       68.125       46.708       7.25    89.095       NaN    994.02    1016.5        0 
      235    1959-06-24     92     65         78.5        58.75     8.2083    183.88       NaN    988.95    1011.1        0 
      236    1959-06-25     93     70       81.208       66.625     9.7083    192.38       NaN    986.96    1008.9     4.41 
      237    1959-06-26     94     70       82.708       69.792     11.417    219.63       NaN    988.77    1010.8     0.17 
      238    1959-06-27     92     76       84.833       68.167       15.5    218.58       NaN    988.93    1010.9        0 
      239    1959-06-28     92     78       84.917       71.042     16.375    235.42       NaN    989.78    1011.8        0 
      240    1959-06-29     82     64       73.542       61.292     10.625    138.96       NaN    994.54    1016.7     0.18 
      241    1959-06-30     74     61       66.958       60.083      9.875    70.583       NaN    994.34    1016.8     0.19 
      242    1959-07-01     74     59       66.125       59.667     14.708    256.08       NaN    992.05    1014.4     1.49 
      243    1959-07-02     82     54       68.583       51.958     6.5417    272.09       NaN    1000.9    1023.6        0 
      244    1959-07-03     85     61       75.167       56.625     7.8333    171.83       NaN    999.97    1022.4        0 
      245    1959-07-04     86     66       75.292       59.542     11.792    194.25       NaN    991.45    1013.7     0.06 
      246    1959-07-05     88     70         77.5       59.458     13.333    276.83       NaN     989.8    1011.9        0 
      247    1959-07-06     73     64       69.125           52     10.333    170.88       NaN    996.44    1018.8        0 
      248    1959-07-07     88     58       74.375        49.75     7.5417    163.74       NaN    999.55      1022        0 
      249    1959-07-08     92     69       81.958       58.458       17.5    201.83       NaN    994.69    1016.8        0 
      250    1959-07-09     82     69       75.208       56.792     12.917    285.33       NaN    996.86    1019.1     0.02 
      251    1959-07-10     87     62       75.375       55.375     11.125    249.58       NaN    994.16    1016.5     0.04 
      252    1959-07-11     74     60       67.792       54.417     8.1667    218.63       NaN    992.36    1014.7     0.19 
      253    1959-07-12     77     59       69.167       52.042        6.5    214.35       NaN    996.06    1018.5        0 
      254    1959-07-13     84     64       74.292       55.542       8.25    162.42       NaN    999.14    1021.5        0 
      255    1959-07-14     85     66       75.333         57.5     6.8333    69.583       NaN    1000.3    1022.7        0 
      256    1959-07-15     87     68       77.958       55.458     7.5833    110.79       NaN     999.1    1021.5        0 
      257    1959-07-16     86     69       78.208       62.375     6.2917    114.58       NaN    996.43    1018.7        0 
      258    1959-07-17     90     71       80.583       65.292     8.9583    214.92       NaN     991.8    1013.8     0.01 
      259    1959-07-18     83     70       74.708       68.417     10.875    205.54       NaN    985.69    1007.8      0.4 
      260    1959-07-19     75     66       71.042       64.375     7.9167    123.17       NaN    990.37    1012.6      0.7 
      261    1959-07-20     83     61       73.042        55.75     6.6667    216.75       NaN    994.23    1016.6        0 
      262    1959-07-21     89     66       78.583       62.208       9.25    184.08       NaN    995.81    1018.1        0 
      263    1959-07-22     90     71       77.625       67.375     11.208    180.33       NaN    996.15    1018.3     0.36 
      264    1959-07-23     83     68       72.292       68.417       8.25    213.04       NaN    990.83    1013.1     0.97 
      265    1959-07-24     82     66       71.917       61.125     10.542    185.79       NaN    993.95    1016.3        0 
      266    1959-07-25     71     63           67       55.792      6.625      85.5       NaN    999.55    1022.1        0 
      267    1959-07-26     82     58       71.875       59.375     4.7917    185.52       NaN    998.13    1020.6        0 
      268    1959-07-27     86     68       77.792       65.625          7    167.75       NaN    995.85    1018.1        0 
      269    1959-07-28     89     71       79.375       71.667     8.9167    183.92       NaN    993.74    1015.8     0.04 
      270    1959-07-29     93     74         83.5       72.417     10.875    223.13       NaN    994.48    1016.5     0.31 
      271    1959-07-30     88     71       77.542           69     9.4583    198.04       NaN    996.06    1018.2     0.94 
      272    1959-07-31     86     68       77.875       59.583       6.75       182       NaN    997.15    1019.4        0 
      273    1959-08-01     76     67        71.75         56.5     10.167    113.75       NaN    998.92    1021.2        0 
      274    1959-08-02     83     61       72.833           58     8.6667    170.39       NaN    997.19    1019.6        0 
      275    1959-08-03     80     64       71.417       62.625     10.208    162.38       NaN    990.57    1012.9     1.14 
      276    1959-08-04     85     71       77.042        69.25      6.375    154.08       NaN     989.4    1011.5        0 
      277    1959-08-05     87     69        78.75         68.5        5.5    160.58       NaN    992.13    1014.3        0 
      278    1959-08-06     86     73       78.667       70.125       7.25    174.54       NaN    989.92    1011.9        0 
      279    1959-08-07     76     67       72.125       65.958     16.042    285.13       NaN    988.66    1010.8     0.04 
      280    1959-08-08     73     66       69.125       62.292         13       273       NaN    991.96    1014.3     0.01 
      281    1959-08-09     76     63       68.792           60     8.2917     193.5       NaN    992.37    1014.7        0 
      282    1959-08-10     82     62       72.542       61.333      7.375    238.91       NaN    993.74    1016.1        0 
      283    1959-08-11     87     67       77.292       66.792     10.208    222.38       NaN    995.42    1017.7        0 
      284    1959-08-12     92     70       80.667        66.25     14.875     220.5       NaN     994.5    1016.5        0 
      285    1959-08-13     92     70       80.708       66.667     10.333       214       NaN    996.46    1018.6        0 
      286    1959-08-14     92     74        82.75        67.75     13.292    206.63       NaN    995.22    1017.3        0 
      287    1959-08-15     89     73       77.458        69.75     11.042    204.67       NaN    993.35    1015.5     0.15 
      288    1959-08-16     81     71       74.625       69.375     12.708    218.71       NaN    989.23    1011.3     0.09 
      289    1959-08-17     85     72       77.417       69.417         12    246.75       NaN     988.8    1010.8        0 
      290    1959-08-18     84     66       75.792       60.917       5.75       153       NaN    995.78    1018.1        0 
