Date,precip,Tmax,Tmin,Tmean
2002-04-27,0.0,46.0,35.0,40.5
2002-04-28,0.39,58.0,41.0,49.5
2002-04-29,0.04,55.0,39.0,47.0
2002-04-30,0.001,64.0,42.0,53.0
2002-05-01,0.0,57.0,41.0,49.0
2002-05-02,0.33,57.0,42.0,49.5
2002-05-03,0.0,53.0,33.0,43.0
2002-05-04,0.0,48.0,33.0,40.5
2002-05-05,0.0,61.0,42.0,51.5
2002-05-06,0.001,67.0,47.0,57.0
2002-05-07,0.1,76.0,45.0,60.5
2002-05-08,0.0,50.0,45.0,47.5
2002-05-09,0.4,55.0,46.0,50.5
2002-05-10,0.001,60.0,45.0,52.5
2002-05-11,0.0,66.0,46.0,56.0
2002-05-12,1.28,50.0,42.0,46.0
2002-05-13,0.02,48.0,44.0,46.0
2002-05-14,0.0,55.0,43.0,49.0
2002-05-15,0.0,64.0,39.0,51.5
2002-05-16,0.01,75.0,47.0,61.0
2002-05-17,0.47,65.0,38.0,51.5
2002-05-18,0.0,43.0,32.0,37.5
2002-05-19,0.04,50.0,38.0,44.0
2002-05-20,0.0,51.0,37.0,44.0
2002-05-21,0.0,49.0,29.0,39.0
2002-05-22,0.0,51.0,32.0,41.5
2002-05-23,0.0,60.0,43.0,51.5
2002-05-24,0.13,71.0,43.0,57.0
2002-05-25,0.001,48.0,42.0,45.0
2002-05-26,0.18,50.0,45.0,47.5
2002-05-27,0.0,68.0,48.0,58.0
2002-05-28,0.0,72.0,48.0,60.0
2002-05-29,0.0,72.0,55.0,63.5
2002-05-30,0.001,82.0,56.0,69.0
2002-05-31,0.0,86.0,56.0,71.0
2002-06-01,nan,nan,nan,nan
2002-06-02,nan,nan,nan,nan
2002-06-03,nan,nan,nan,nan
2002-06-04,nan,nan,nan,nan
2002-06-05,nan,nan,nan,nan
2002-06-06,nan,nan,nan,nan
2002-06-07,nan,nan,nan,nan
2002-06-08,nan,nan,nan,nan
2002-06-09,nan,nan,nan,nan
2002-06-10,nan,nan,nan,nan
2002-06-11,nan,nan,nan,nan
2002-06-12,nan,nan,nan,nan
2002-06-13,nan,nan,nan,nan
2002-06-14,nan,nan,nan,nan
2002-06-15,nan,nan,nan,nan
2002-06-16,nan,nan,nan,nan
2002-06-17,nan,nan,nan,nan
2002-06-18,nan,nan,nan,nan
2002-06-19,nan,nan,nan,nan
2002-06-20,nan,nan,nan,nan
2002-06-21,nan,nan,nan,nan
2002-06-22,nan,nan,nan,nan
2002-06-23,nan,nan,nan,nan
2002-06-24,nan,nan,nan,nan
2002-06-25,nan,nan,nan,nan
2002-06-26,nan,nan,nan,nan
2002-06-27,nan,nan,nan,nan
2002-06-28,nan,nan,nan,nan
2002-06-29,nan,nan,nan,nan
2002-06-30,nan,nan,nan,nan
2002-07-01,0.0,91.0,70.0,80.5
2002-07-02,0.0,93.0,72.0,82.5
2002-07-03,0.0,93.0,73.0,83.0
2002-07-04,0.0,94.0,76.0,85.0
2002-07-05,0.0,88.0,64.0,76.0
2002-07-06,0.0,75.0,64.0,69.5
2002-07-07,0.02,82.0,64.0,73.0
2002-07-08,0.0,86.0,65.0,75.5
2002-07-09,0.5,95.0,67.0,81.0
2002-07-10,0.0,76.0,67.0,71.5
2002-07-11,0.0,74.0,66.0,70.0
2002-07-12,0.0,73.0,58.0,65.5
2002-07-13,0.0,77.0,54.0,65.5
2002-07-14,0.0,82.0,54.0,68.0
2002-07-15,0.0,83.0,58.0,70.5
2002-07-16,0.0,84.0,66.0,75.0
2002-07-17,0.0,88.0,65.0,76.5
2002-07-18,0.0,91.0,70.0,80.5
2002-07-19,0.0,91.0,66.0,78.5
2002-07-20,0.0,78.0,62.0,70.0
2002-07-21,0.0,84.0,68.0,76.0
2002-07-22,0.0,98.0,73.0,85.5
2002-07-23,0.0,90.0,66.0,78.0
2002-07-24,0.0,74.0,58.0,66.0
2002-07-25,0.0,75.0,67.0,71.0
2002-07-26,0.001,84.0,68.0,76.0
2002-07-27,0.03,89.0,69.0,79.0
2002-07-28,0.1,89.0,72.0,80.5
2002-07-29,0.01,93.0,73.0,83.0
2002-07-30,0.05,83.0,67.0,75.0
2002-07-31,0.0,93.0,70.0,81.5
