Date,precip,Tmax,Tmin,Tmean
2000-04-23,0.01,61.0,38.0,49.5
2000-04-24,0.08,52.0,37.0,44.5
2000-04-25,0.0,65.0,37.0,51.0
2000-04-26,0.0,61.0,37.0,49.0
2000-04-27,0.0,61.0,37.0,49.0
2000-04-28,0.0,64.0,38.0,51.0
2000-04-29,0.05,65.0,38.0,51.5
2000-04-30,0.01,54.0,37.0,45.5
2000-05-01,0.03,59.0,nan,nan
2000-05-02,0.07,62.0,43.0,52.5
2000-05-03,0.0,59.0,44.0,51.5
2000-05-04,0.0,69.0,55.0,62.0
2000-05-05,0.0,74.0,63.0,68.5
2000-05-06,0.0,85.0,65.0,75.0
2000-05-07,0.0,86.0,66.0,76.0
2000-05-08,0.001,86.0,67.0,76.5
2000-05-09,0.3,86.0,60.0,73.0
2000-05-10,0.64,62.0,43.0,52.5
2000-05-11,0.0,66.0,44.0,55.0
2000-05-12,0.4,75.0,53.0,64.0
2000-05-13,0.02,84.0,49.0,66.5
2000-05-14,0.0,84.0,41.0,62.5
2000-05-15,0.01,63.0,41.0,52.0
2000-05-16,0.0,65.0,nan,nan
2000-05-17,0.18,62.0,49.0,55.5
2000-05-18,0.8,60.0,51.0,55.5
2000-05-19,1.96,52.0,43.0,47.5
2000-05-20,0.001,48.0,42.0,45.0
2000-05-21,0.01,57.0,43.0,50.0
2000-05-22,0.1,66.0,47.0,56.5
2000-05-23,0.03,79.0,56.0,67.5
2000-05-24,0.0,81.0,56.0,68.5
2000-05-25,0.0,81.0,57.0,69.0
2000-05-26,0.0,76.0,55.0,65.5
2000-05-27,0.62,63.0,52.0,57.5
2000-05-28,0.41,56.0,54.0,55.0
2000-05-29,0.25,54.0,43.0,48.5
2000-05-30,0.0,61.0,53.0,57.0
2000-05-31,0.0,80.0,57.0,68.5
2000-06-01,0.55,66.0,61.0,63.5
2000-06-02,0.45,87.0,61.0,74.0
2000-06-03,0.0,65.0,45.0,55.0
2000-06-04,0.01,64.0,45.0,54.5
2000-06-05,0.65,65.0,45.0,55.0
2000-06-06,0.0,64.0,42.0,53.0
2000-06-07,0.0,71.0,45.0,58.0
2000-06-08,0.04,79.0,52.0,65.5
2000-06-09,0.0,90.0,68.0,79.0
2000-06-10,0.0,88.0,68.0,78.0
2000-06-11,0.3,88.0,71.0,79.5
2000-06-12,0.4,83.0,51.0,67.0
2000-06-13,0.95,74.0,52.0,63.0
2000-06-14,0.4,74.0,64.0,69.0
2000-06-15,0.12,79.0,61.0,70.0
2000-06-16,0.0,78.0,63.0,70.5
2000-06-17,0.03,74.0,53.0,63.5
2000-06-18,0.01,61.0,55.0,58.0
2000-06-19,0.0,73.0,55.0,64.0
2000-06-20,0.0,77.0,56.0,66.5
2000-06-21,0.16,79.0,66.0,72.5
2000-06-22,0.0,81.0,65.0,73.0
2000-06-23,0.0,81.0,55.0,68.0
2000-06-24,0.62,81.0,62.0,71.5
2000-06-25,1.88,77.0,64.0,70.5
2000-06-26,0.0,83.0,64.0,73.5
2000-06-27,0.3,79.0,58.0,68.5
2000-06-28,0.0,75.0,56.0,65.5
2000-06-29,0.03,69.0,54.0,61.5
2000-06-30,0.0,76.0,54.0,65.0
2000-07-01,0.01,80.0,nan,nan
2000-07-02,0.0,82.0,68.0,75.0
2000-07-03,2.05,84.0,56.0,70.0
2000-07-04,0.0,nan,nan,nan
2000-07-05,0.0,75.0,58.0,66.5
2000-07-06,0.13,78.0,64.0,71.0
2000-07-07,0.0,78.0,64.0,71.0
2000-07-08,0.0,77.0,64.0,70.5
2000-07-09,0.01,84.0,67.0,75.5
2000-07-10,0.9,86.0,68.0,77.0
2000-07-11,0.0,76.0,60.0,68.0
2000-07-12,0.0,76.0,66.0,71.0
2000-07-13,0.0,79.0,62.0,70.5
2000-07-14,0.9,87.0,66.0,76.5
2000-07-15,0.0,85.0,62.0,73.5
2000-07-16,0.0,77.0,59.0,68.0
2000-07-17,0.0,81.0,60.0,70.5
2000-07-18,0.0,85.0,60.0,72.5
2000-07-19,0.0,67.0,59.0,63.0
2000-07-20,0.0,71.0,60.0,65.5
2000-07-21,0.0,76.0,55.0,65.5
2000-07-22,0.0,74.0,56.0,65.0
2000-07-23,0.0,68.0,51.0,59.5
2000-07-24,0.0,71.0,50.0,60.5
2000-07-25,0.0,73.0,51.0,62.0
2000-07-26,0.0,78.0,59.0,68.5
2000-07-27,0.0,85.0,66.0,75.5
2000-07-28,0.0,85.0,66.0,75.5
2000-07-29,0.02,83.0,67.0,75.0
2000-07-30,0.01,75.0,70.0,72.5
2000-07-31,0.9,70.0,64.0,67.0
2000-08-01,0.6,76.0,66.0,71.0
2000-08-02,0.0,86.0,66.0,76.0
2000-08-03,0.0,85.0,57.0,71.0
2000-08-04,0.0,70.0,54.0,62.0
2000-08-05,0.0,77.0,56.0,66.5
2000-08-06,0.25,76.0,67.0,71.5
2000-08-07,0.0,88.0,66.0,77.0
2000-08-08,0.0,86.0,66.0,76.0
2000-08-09,0.0,85.0,65.0,75.0
2000-08-10,0.0,86.0,62.0,74.0
2000-08-11,0.0,84.0,63.0,73.5
2000-08-12,0.0,85.0,58.0,71.5
2000-08-13,0.02,80.0,68.0,74.0
2000-08-14,0.01,82.0,69.0,75.5
2000-08-15,0.0,84.0,69.0,76.5
2000-08-16,0.0,92.0,57.0,74.5
2000-08-17,0.66,79.0,57.0,68.0
2000-08-18,0.13,73.0,61.0,67.0
2000-08-19,0.0,73.0,61.0,67.0
2000-08-20,0.01,69.0,55.0,62.0
2000-08-21,0.0,71.0,55.0,63.0
2000-08-22,0.0,76.0,59.0,67.5
2000-08-23,0.04,84.0,66.0,75.0
2000-08-24,0.0,82.0,67.0,74.5
2000-08-25,0.0,79.0,57.0,68.0
2000-08-26,0.0,83.0,61.0,72.0
2000-08-27,0.0,77.0,68.0,72.5
2000-08-28,0.0,74.0,68.0,71.0
2000-08-29,0.0,77.0,69.0,73.0
2000-08-30,0.0,81.0,69.0,75.0
2000-08-31,0.0,78.0,69.0,73.5
2000-09-01,0.0,93.0,69.0,81.0
2000-09-02,0.0,88.0,70.0,79.0
2000-09-03,0.0,89.0,71.0,80.0
2000-09-04,0.001,84.0,59.0,71.5
2000-09-05,0.0,65.0,59.0,62.0
2000-09-06,0.0,65.0,57.0,61.0
2000-09-07,0.0,73.0,57.0,65.0
2000-09-08,0.05,88.0,62.0,75.0
2000-09-09,0.08,73.0,67.0,70.0
2000-09-10,0.0,82.0,69.0,75.5
2000-09-11,0.0,86.0,74.0,80.0
2000-09-12,1.7,83.0,58.0,70.5
2000-09-13,0.0,72.0,50.0,61.0
2000-09-14,0.4,79.0,57.0,68.0
2000-09-15,0.15,72.0,48.0,60.0
2000-09-16,0.0,62.0,41.0,51.5
2000-09-17,0.0,69.0,48.0,58.5
2000-09-18,0.0,80.0,52.0,66.0
2000-09-19,0.0,87.0,57.0,72.0
2000-09-20,0.04,85.0,59.0,72.0
2000-09-21,0.4,61.0,44.0,52.5
2000-09-22,0.0,63.0,46.0,54.5
2000-09-23,2.2,64.0,56.0,60.0
2000-09-24,0.16,62.0,51.0,56.5
2000-09-25,0.0,56.0,45.0,50.5
2000-09-26,0.0,56.0,40.0,48.0
2000-09-27,0.0,69.0,49.0,59.0
2000-09-28,0.0,65.0,49.0,57.0
2000-09-29,0.0,59.0,49.0,54.0
2000-09-30,0.0,74.0,50.0,62.0
2000-10-01,nan,nan,nan,nan
2000-10-02,0.0,82.0,59.0,70.5
2000-10-03,0.001,78.0,47.0,62.5
2000-10-04,0.8,69.0,49.0,59.0
2000-10-05,0.0,59.0,48.0,53.5
2000-10-06,0.31,58.0,39.0,48.5
2000-10-07,0.0,48.0,31.0,39.5
2000-10-08,0.05,46.0,31.0,38.5
2000-10-09,0.0,48.0,29.0,38.5
2000-10-10,0.0,56.0,29.0,42.5
2000-10-11,0.0,62.0,36.0,49.0
2000-10-12,0.0,67.0,41.0,54.0
2000-10-13,0.0,74.0,44.0,59.0
2000-10-14,0.03,78.0,56.0,67.0
2000-10-15,0.0,76.0,57.0,66.5
2000-10-16,0.05,57.0,43.0,50.0
2000-10-17,0.0,58.0,43.0,50.5
