,mean,max,min,no.invalid
precip,0.08469501661129479,2.97,0.0,37
Tmax,57.45210473980776,108.0,-5.0,23
Tmin,38.264958677685954,79.0,-24.0,7
Tmean,47.85221429756179,90.5,-12.5,28
