Date,precip,Tmax,Tmin,Tmean
1958-11-01,0.0,53.0,41.0,47.0
1958-11-02,0.0,48.0,38.0,43.0
1958-11-03,0.0,62.0,33.0,47.5
1958-11-04,0.0,70.0,40.0,55.0
1958-11-05,0.001,58.0,44.0,51.0
1958-11-06,0.0,50.0,30.0,40.0
1958-11-07,0.0,53.0,26.0,39.5
1958-11-08,0.13,50.0,40.0,45.0
1958-11-09,0.001,47.0,33.0,40.0
1958-11-10,0.0,51.0,31.0,41.0
1958-11-11,0.0,62.0,36.0,49.0
1958-11-12,0.001,50.0,30.0,40.0
1958-11-13,0.34,60.0,45.0,52.5
1958-11-14,0.09,70.0,55.0,62.5
1958-11-15,1.01,67.0,45.0,56.0
1958-11-16,0.01,54.0,45.0,49.5
1958-11-17,0.04,69.0,52.0,60.5
1958-11-18,0.06,61.0,35.0,48.0
1958-11-19,0.0,50.0,32.0,41.0
1958-11-20,0.001,47.0,36.0,41.5
1958-11-21,0.001,40.0,29.0,34.5
1958-11-22,0.0,47.0,26.0,36.5
1958-11-23,0.0,57.0,35.0,46.0
1958-11-24,0.08,42.0,32.0,37.0
1958-11-25,0.17,43.0,33.0,38.0
1958-11-26,0.0,43.0,17.0,30.0
1958-11-27,0.0,28.0,11.0,19.5
1958-11-28,0.02,24.0,18.0,21.0
1958-11-29,0.0,21.0,4.0,12.5
1958-11-30,0.0,21.0,-1.0,10.0
1958-12-01,0.0,34.0,14.0,24.0
1958-12-02,0.0,38.0,15.0,26.5
1958-12-03,0.09,36.0,28.0,32.0
1958-12-04,0.001,40.0,30.0,35.0
1958-12-05,0.0,30.0,11.0,20.5
1958-12-06,0.0,17.0,4.0,10.5
1958-12-07,0.05,13.0,4.0,8.5
1958-12-08,0.12,13.0,0.0,6.5
1958-12-09,0.0,5.0,-13.0,-4.0
1958-12-10,0.0,16.0,-8.0,4.0
1958-12-11,0.13,20.0,5.0,12.5
1958-12-12,0.04,12.0,5.0,8.5
1958-12-13,0.0,16.0,-5.0,5.5
1958-12-14,0.001,13.0,-6.0,3.5
1958-12-15,0.02,11.0,-9.0,1.0
1958-12-16,0.0,33.0,2.0,17.5
1958-12-17,0.0,36.0,16.0,26.0
1958-12-18,0.0,34.0,15.0,24.5
1958-12-19,0.001,41.0,15.0,28.0
1958-12-20,0.02,22.0,7.0,14.5
1958-12-21,0.0,23.0,7.0,15.0
1958-12-22,0.0,42.0,18.0,30.0
1958-12-23,0.0,40.0,29.0,34.5
1958-12-24,0.0,31.0,20.0,25.5
1958-12-25,0.001,32.0,14.0,23.0
1958-12-26,0.0,36.0,25.0,30.5
1958-12-27,0.09,44.0,31.0,37.5
1958-12-28,0.0,48.0,27.0,37.5
1958-12-29,0.0,40.0,33.0,36.5
1958-12-30,0.0,33.0,21.0,27.0
1958-12-31,0.05,29.0,24.0,26.5
1959-01-01,0.14,34.0,27.0,30.5
1959-01-02,0.02,33.0,20.0,26.5
1959-01-03,0.19,31.0,1.0,16.0
1959-01-04,0.02,1.0,-10.0,-4.5
1959-01-05,0.0,10.0,-12.0,-1.0
1959-01-06,0.0,23.0,-1.0,11.0
1959-01-07,0.0,30.0,11.0,20.5
1959-01-08,0.001,26.0,12.0,19.0
1959-01-09,0.0,20.0,6.0,13.0
1959-01-10,0.0,23.0,4.0,13.5
1959-01-11,0.0,32.0,8.0,20.0
1959-01-12,0.0,36.0,21.0,28.5
1959-01-13,0.0,36.0,19.0,27.5
1959-01-14,0.001,39.0,33.0,36.0
1959-01-15,0.001,33.0,5.0,19.0
1959-01-16,0.01,12.0,-1.0,5.5
1959-01-17,0.0,11.0,-4.0,3.5
1959-01-18,0.0,21.0,-5.0,8.0
1959-01-19,0.26,28.0,9.0,18.5
1959-01-20,0.06,26.0,0.0,13.0
1959-01-21,0.47,27.0,13.0,20.0
1959-01-22,0.02,13.0,-5.0,4.0
1959-01-23,0.0,4.0,-13.0,-4.5
1959-01-24,0.0,36.0,1.0,18.5
1959-01-25,0.12,29.0,16.0,22.5
1959-01-26,0.001,23.0,15.0,19.0
1959-01-27,0.0,24.0,1.0,12.5
1959-01-28,0.001,32.0,8.0,20.0
1959-01-29,0.01,36.0,29.0,32.5
1959-01-30,0.25,33.0,10.0,21.5
1959-01-31,0.0,11.0,-8.0,1.5
1959-02-01,0.0,10.0,-6.0,2.0
1959-02-02,0.0,19.0,-9.0,5.0
1959-02-03,0.17,32.0,10.0,21.0
1959-02-04,0.03,26.0,8.0,17.0
1959-02-05,0.01,31.0,2.0,16.5
1959-02-06,0.0,18.0,-8.0,5.0
1959-02-07,0.0,42.0,13.0,27.5
1959-02-08,0.001,33.0,19.0,26.0
1959-02-09,0.21,37.0,24.0,30.5
1959-02-10,0.67,33.0,16.0,24.5
1959-02-11,0.001,27.0,5.0,16.0
1959-02-12,0.02,39.0,18.0,28.5
1959-02-13,0.001,37.0,27.0,32.0
1959-02-14,0.1,39.0,23.0,31.0
1959-02-15,0.0,34.0,20.0,27.0
1959-02-16,0.0,37.0,24.0,30.5
1959-02-17,0.001,29.0,22.0,25.5
1959-02-18,0.01,24.0,8.0,16.0
1959-02-19,0.0,10.0,-5.0,2.5
1959-02-20,0.0,19.0,-7.0,6.0
1959-02-21,0.0,36.0,16.0,26.0
1959-02-22,0.01,44.0,23.0,33.5
1959-02-23,0.54,38.0,32.0,35.0
1959-02-24,0.0,33.0,17.0,25.0
1959-02-25,0.0,40.0,21.0,30.5
1959-02-26,0.0,39.0,25.0,32.0
1959-02-27,0.001,41.0,22.0,31.5
1959-02-28,0.0,40.0,32.0,36.0
1959-03-01,0.0,42.0,27.0,34.5
1959-03-02,0.03,48.0,29.0,38.5
1959-03-03,0.001,38.0,26.0,32.0
1959-03-04,0.0,37.0,21.0,29.0
1959-03-05,0.5,36.0,30.0,33.0
1959-03-06,0.23,36.0,23.0,29.5
1959-03-07,0.0,35.0,15.0,25.0
1959-03-08,0.07,46.0,27.0,36.5
1959-03-09,0.01,33.0,25.0,29.0
1959-03-10,0.0,35.0,21.0,28.0
1959-03-11,0.0,36.0,23.0,29.5
1959-03-12,0.01,40.0,25.0,32.5
1959-03-13,0.001,40.0,21.0,30.5
1959-03-14,0.02,39.0,29.0,34.0
1959-03-15,0.75,35.0,26.0,30.5
1959-03-16,0.02,38.0,19.0,28.5
1959-03-17,0.01,30.0,13.0,21.5
1959-03-18,0.0,44.0,15.0,29.5
1959-03-19,0.0,65.0,38.0,51.5
1959-03-20,0.0,55.0,34.0,44.5
1959-03-21,0.0,34.0,21.0,27.5
1959-03-22,0.0,33.0,15.0,24.0
1959-03-23,0.0,62.0,31.0,46.5
1959-03-24,0.0,65.0,40.0,52.5
1959-03-25,0.0,43.0,34.0,38.5
1959-03-26,1.33,38.0,33.0,35.5
1959-03-27,0.02,41.0,31.0,36.0
1959-03-28,0.0,38.0,28.0,33.0
1959-03-29,0.0,39.0,31.0,35.0
1959-03-30,0.06,49.0,25.0,37.0
1959-03-31,0.31,61.0,38.0,49.5
1959-04-01,0.44,43.0,35.0,39.0
1959-04-02,0.04,59.0,35.0,47.0
1959-04-03,0.39,53.0,41.0,47.0
1959-04-04,0.0,60.0,32.0,46.0
1959-04-05,0.0,65.0,47.0,56.0
1959-04-06,0.0,49.0,32.0,40.5
1959-04-07,0.0,72.0,39.0,55.5
1959-04-08,0.18,57.0,33.0,45.0
1959-04-09,0.01,42.0,31.0,36.5
1959-04-10,0.0,38.0,30.0,34.0
1959-04-11,0.0,42.0,24.0,33.0
1959-04-12,0.0,46.0,26.0,36.0
1959-04-13,0.0,57.0,28.0,42.5
1959-04-14,0.0,66.0,38.0,52.0
1959-04-15,0.0,73.0,37.0,55.0
1959-04-16,0.0,75.0,44.0,59.5
1959-04-17,0.19,77.0,55.0,66.0
1959-04-18,0.05,63.0,42.0,52.5
1959-04-19,0.0,42.0,35.0,38.5
1959-04-20,0.0,43.0,35.0,39.0
1959-04-21,0.0,45.0,27.0,36.0
1959-04-22,0.0,61.0,27.0,44.0
1959-04-23,0.0,69.0,39.0,54.0
1959-04-24,0.07,59.0,39.0,49.0
1959-04-25,0.04,69.0,41.0,55.0
1959-04-26,0.0,48.0,39.0,43.5
1959-04-27,0.54,43.0,38.0,40.5
1959-04-28,1.83,64.0,41.0,52.5
1959-04-29,0.01,65.0,48.0,56.5
1959-04-30,0.02,62.0,44.0,53.0
1959-05-01,0.0,65.0,35.0,50.0
1959-05-02,0.0,90.0,60.0,75.0
1959-05-03,0.87,82.0,64.0,73.0
1959-05-04,0.0,81.0,58.0,69.5
1959-05-05,0.0,81.0,58.0,69.5
1959-05-06,0.18,84.0,65.0,74.5
1959-05-07,0.0,74.0,43.0,58.5
