Date,precip,Tmax,Tmin,Tmean
1993-05-02,0.01,62.0,48.0,55.0
1993-05-03,0.04,64.0,49.0,56.5
1993-05-04,0.24,67.0,49.0,58.0
1993-05-05,0.01,65.0,50.0,57.5
1993-05-06,0.0,64.0,47.0,55.5
1993-05-07,0.0,71.0,48.0,59.5
1993-05-08,0.0,78.0,49.0,63.5
1993-05-09,0.0,84.0,nan,nan
1993-05-10,0.0,77.0,62.0,69.5
1993-05-11,0.0,77.0,53.0,65.0
1993-05-12,0.0,71.0,51.0,61.0
1993-05-13,0.0,82.0,40.0,61.0
1993-05-14,0.0,54.0,39.0,46.5
1993-05-15,0.01,69.0,47.0,58.0
1993-05-16,0.0,66.0,45.0,55.5
1993-05-17,0.0,55.0,42.0,48.5
1993-05-18,0.001,55.0,41.0,48.0
1993-05-19,0.02,60.0,36.0,48.0
1993-05-20,0.001,56.0,37.0,46.5
1993-05-21,0.0,57.0,40.0,48.5
1993-05-22,0.0,68.0,42.0,55.0
1993-05-23,0.15,73.0,48.0,60.5
1993-05-24,0.65,74.0,nan,nan
1993-05-25,0.0,66.0,41.0,53.5
1993-05-26,0.0,65.0,48.0,56.5
1993-05-27,0.0,77.0,50.0,63.5
1993-05-28,0.1,78.0,50.0,64.0
1993-05-29,0.05,67.0,42.0,54.5
1993-05-30,0.0,61.0,42.0,51.5
1993-05-31,0.79,57.0,41.0,49.0
1993-06-01,0.09,65.0,39.0,52.0
1993-06-02,0.0,62.0,39.0,50.5
1993-06-03,0.06,58.0,48.0,53.0
1993-06-04,0.0,56.0,48.0,52.0
1993-06-05,0.3,51.0,45.0,48.0
1993-06-06,0.0,72.0,45.0,58.5
1993-06-07,0.0,73.0,43.0,58.0
1993-06-08,1.91,68.0,53.0,60.5
1993-06-09,1.46,75.0,63.0,69.0
1993-06-10,0.0,77.0,61.0,69.0
1993-06-11,0.0,72.0,56.0,64.0
1993-06-12,0.0,71.0,56.0,63.5
1993-06-13,0.0,77.0,58.0,67.5
1993-06-14,0.27,75.0,61.0,68.0
1993-06-15,0.0,81.0,56.0,68.5
1993-06-16,0.0,69.0,47.0,58.0
1993-06-17,0.0,69.0,48.0,58.5
1993-06-18,0.17,91.0,64.0,77.5
1993-06-19,0.9,78.0,64.0,71.0
