,mean,min,max,No. of invalid
Temp (F),51.100629318768526,-6.0,99.0,15.0
Dewpt (F),38.699665214661756,-15.0,75.0,15.0
Wind Spd (mph),9.990225185518888,0.0,41.0,11.0
Wind Direction (deg),182.86774795413405,0.0,360.0,13.0
Peak Wind Gust(mph),30.52396616541353,21.0,53.0,704.0
Atm Press (hPa),nan,nan,nan,710.0
Sea Lev Press (hPa),1016.9854859032513,990.5,1041.2,16.0
Precip (in),0.004584090799072455,0.0,6.0,163.0
