,mean,min,max,No. of invalid
Temp (F),47.08058355811928,-16.0,102.0,4.0
Dewpt (F),37.619646052726935,-26.0,75.0,4.0
Wind Spd (mph),7.447999416076738,0.0,36.0,0.0
Wind Direction (deg),166.29410538086674,0.0,360.0,33.0
Peak Wind Gust(mph),24.754745264724015,16.0,47.0,692.0
Atm Press (hPa),989.6561249836057,958.0,1012.0,4.0
Sea Lev Press (hPa),1016.7272315257111,987.1,1041.2,35.0
Precip (in),0.0027891995638746644,0.0,0.86,24.0
