,mean,min,max,No. of invalid
Temp (F),56.264572010869564,-4.0,93.0,2.0
Dewpt (F),43.63183413512451,-17.0,75.0,3.0
Wind Spd (mph),9.385076522941848,0.0,33.0,0.0
Wind Direction (deg),177.85763298225552,0.0,360.0,0.0
Peak Wind Gust(mph),30.16696521441946,17.0,51.0,466.0
Atm Press (hPa),993.4263787769222,962.2,1017.4,1.0
Sea Lev Press (hPa),1015.792780760509,984.2,1042.7,3.0
Precip (in),0.0037744783396957307,0.0,0.86,14.0
