,mean,min,max,No. of invalid
Temp (F),52.309156840881236,-8.0,95.0,4.0
Dewpt (F),41.02843325486033,-15.0,77.0,3.0
Wind Spd (mph),10.303024343838844,0.0,36.0,14.0
Wind Direction (deg),192.60503124744827,0.0,360.0,26.0
Peak Wind Gust(mph),31.54480310099719,17.0,59.0,723.0
Atm Press (hPa),nan,nan,nan,734.0
Sea Lev Press (hPa),1017.0928971043656,991.1,1044.7,18.0
Precip (in),0.00441019746209634,0.0,2.4,157.0
