,mean,min,max,No. of invalid
Temp (F),53.21001958966965,-15.0,103.0,29.0
Dewpt (F),42.397888617262296,-18.0,82.0,31.0
Wind Spd (mph),9.893888629276342,0.0,40.0,29.0
Wind Direction (deg),180.97311755231055,0.0,360.0,34.0
Peak Wind Gust(mph),30.610591088753146,1.0,54.0,1106.0
Atm Press (hPa),995.204812413787,967.0,1012.2,955.0
Sea Lev Press (hPa),1016.043528025672,985.8,1043.4,38.0
Precip (in),0.003810737911110326,0.0,1.0,199.0
