,mean,min,max,No. of invalid
Temp (F),50.89793076813627,-14.0,103.0,0.0
Dewpt (F),37.713305689371296,-24.0,77.0,0.0
Wind Spd (mph),9.63703579486554,0.0,39.0,0.0
Wind Direction (deg),185.1950263612287,0.0,360.0,0.0
Peak Wind Gust(mph),28.48974543022026,17.0,57.0,695.0
Atm Press (hPa),994.1147463702027,961.2,1017.1,1.0
Sea Lev Press (hPa),1016.7668067113995,984.5,1042.0,2.0
Precip (in),0.003511439875132145,0.0,1.84,6.0
