,mean,min,max,No. of invalid
Temp (F),52.22786040260396,-9.0,98.0,3.0
Dewpt (F),40.01707393317721,-21.0,77.0,3.0
Wind Spd (mph),9.99822695035461,0.0,33.0,0.0
Wind Direction (deg),177.8750833463484,0.0,360.0,0.0
Peak Wind Gust(mph),30.371287119313422,18.0,46.0,370.0
Atm Press (hPa),993.9196656397295,963.9,1015.8,0.0
Sea Lev Press (hPa),1016.5561424327702,986.4,1040.5,3.0
Precip (in),0.004043955515462122,0.0,1.26,4.0
