,mean,min,max,No. of invalid
Temp (F),51.13052036524562,-18.0,101.0,1.0
Dewpt (F),39.22587639050049,-33.0,80.0,0.0
Wind Spd (mph),10.863127601168866,0.0,41.0,0.0
Wind Direction (deg),196.13636894267458,10.0,360.0,178.0
Peak Wind Gust(mph),nan,nan,nan,4910.0
Atm Press (hPa),994.0562414799102,959.0,1021.0,8.0
Sea Lev Press (hPa),1016.7970567653733,981.5,1046.4,1733.0
Precip (in),0.004116461093884991,0.0,2.32,1.0
