,mean,min,max,No. of invalid
Temp (F),50.17276608379365,-10.0,99.0,0.0
Dewpt (F),40.11815003121167,-21.0,75.0,0.0
Wind Spd (mph),8.48771002938483,0.0,34.0,0.0
Wind Direction (deg),173.29815636834567,0.0,360.0,14.0
Peak Wind Gust(mph),27.16214944475814,16.0,48.0,371.0
Atm Press (hPa),988.7396348700648,963.6,1012.3,266.0
Sea Lev Press (hPa),1015.6114765065009,990.0,1042.7,4.0
Precip (in),0.0030119883127832066,0.0,0.41,268.0
