,mean,min,max,No. of invalid
Temp (F),40.74363966049728,-6.0,88.0,898.0
Dewpt (F),30.449879186534705,-13.0,66.0,899.0
Wind Spd (mph),9.459859776564583,0.0,30.0,895.0
Wind Direction (deg),201.715403406765,0.0,360.0,895.0
Peak Wind Gust(mph),23.779824561403505,17.0,31.0,1114.0
Atm Press (hPa),nan,nan,nan,1117.0
Sea Lev Press (hPa),1018.1195553407617,989.6,1043.8,900.0
Precip (in),0.05338972431077694,0.0,0.42,1113.0
