,mean,min,max,No. of invalid,,
PRCP,0.09,0,2.97,0,,1/1/1923
T,46.9,-21,102,16,,12/31/1930
,,,,,,
PRCP,0.092194,0,2.7,5,,1/1/1931
T,48.71798,-24,108,22,,8/1/1939
,,,,,,
PRCP,0.091135577,0,2.97,5,,
T,47.84095547,-24,108,38,,
