,mean,min,max,No. of invalid,,
PRCP,0.090974,0,2.91,3,,7/15/1946
T,48.63681,-14,101,12,,12/31/1950
,,,,,,
PRCP,0.09,0,2.71,6,,1/1/1951
T,48.6,-23,100,13,,12/31/1960
,,,,,,
PRCP,0.071553,0,1.1,0,,1/1/1961
T,34.00826,-7,71,5,,5/1/1961
,,,,,,
PRCP,0.089880945,0,2.91,9,,
T,48.2844471,-23,101,30,,
