,mean,min,max,No. of invalid
Temp (F),48.402234868712256,-4.0,91.0,7.0
Dewpt (F),39.62342044522582,-11.0,75.0,8.0
Wind Spd (mph),8.157654061001445,0.0,36.0,2.0
Wind Direction (deg),167.0899144294012,0.0,360.0,19.0
Peak Wind Gust(mph),26.912298603651983,17.0,46.0,362.0
Atm Press (hPa),nan,nan,nan,369.0
Sea Lev Press (hPa),1017.020137003603,990.3,1046.1,12.0
Precip (in),0.020279828358775728,0.0,0.41,360.0
