,mean,min,max,No. of invalid
Temp (F),50.19092902645459,-7.0,97.0,4.0
Dewpt (F),40.536440458503364,-15.0,79.0,4.0
Wind Spd (mph),7.481790539708887,0.0,39.0,0.0
Wind Direction (deg),159.91193529013665,0.0,360.0,32.0
Peak Wind Gust(mph),26.88624046254195,16.0,52.0,720.0
Atm Press (hPa),988.6766130003426,955.6,1007.0,3.0
Sea Lev Press (hPa),1015.4162945882761,980.9,1035.0,38.0
Precip (in),0.003580349677398016,0.0,1.97,30.0
