Date,lake depth
2017-12-22,176.79
2017-12-23,176.79
2017-12-24,176.79
2017-12-25,176.79
2017-12-26,176.79
2017-12-27,176.79
2017-12-28,176.79
2017-12-29,176.79
2017-12-30,176.79
2017-12-31,176.79
2018-01-01,176.73
2018-01-02,176.73
2018-01-03,176.73
2018-01-04,176.73
2018-01-05,176.73
2018-01-06,176.73
2018-01-07,176.73
2018-01-08,176.73
2018-01-09,176.73
2018-01-10,176.73
2018-01-11,176.73
2018-01-12,176.73
2018-01-13,176.73
2018-01-14,176.73
2018-01-15,176.73
2018-01-16,176.73
2018-01-17,176.73
2018-01-18,176.73
2018-01-19,176.73
2018-01-20,176.73
2018-01-21,176.73
2018-01-22,176.73
2018-01-23,176.73
2018-01-24,176.73
2018-01-25,176.73
2018-01-26,176.73
2018-01-27,176.73
2018-01-28,176.73
2018-01-29,176.73
2018-01-30,176.73
2018-01-31,176.73
2018-02-01,176.74
2018-02-02,176.74
2018-02-03,176.74
2018-02-04,176.74
2018-02-05,176.74
2018-02-06,176.74
2018-02-07,176.74
2018-02-08,176.74
2018-02-09,176.74
2018-02-10,176.74
2018-02-11,176.74
2018-02-12,176.74
2018-02-13,176.74
2018-02-14,176.74
2018-02-15,176.74
2018-02-16,176.74
2018-02-17,176.74
2018-02-18,176.74
2018-02-19,176.74
2018-02-20,176.74
2018-02-21,176.74
2018-02-22,176.74
2018-02-23,176.74
2018-02-24,176.74
2018-02-25,176.74
2018-02-26,176.74
2018-02-27,176.74
2018-02-28,176.74
2018-03-01,176.76
2018-03-02,176.76
2018-03-03,176.76
2018-03-04,176.76
2018-03-05,176.76
2018-03-06,176.76
2018-03-07,176.76
2018-03-08,176.76
2018-03-09,176.76
2018-03-10,176.76
2018-03-11,176.76
2018-03-12,176.76
2018-03-13,176.76
2018-03-14,176.76
2018-03-15,176.76
2018-03-16,176.76
2018-03-17,176.76
2018-03-18,176.76
2018-03-19,176.76
2018-03-20,176.76
2018-03-21,176.76
2018-03-22,176.76
2018-03-23,176.76
2018-03-24,176.76
2018-03-25,176.76
2018-03-26,176.76
2018-03-27,176.76
2018-03-28,176.76
2018-03-29,176.76
2018-03-30,176.76
2018-03-31,176.76
2018-04-01,176.79
2018-04-02,176.79
2018-04-03,176.79
2018-04-04,176.79
2018-04-05,176.79
2018-04-06,176.79
2018-04-07,176.79
2018-04-08,176.79
2018-04-09,176.79
2018-04-10,176.79
2018-04-11,176.79
2018-04-12,176.79
2018-04-13,176.79
2018-04-14,176.79
2018-04-15,176.79
2018-04-16,176.79
2018-04-17,176.79
2018-04-18,176.79
2018-04-19,176.79
2018-04-20,176.79
2018-04-21,176.79
2018-04-22,176.79
2018-04-23,176.79
2018-04-24,176.79
2018-04-25,176.79
2018-04-26,176.79
2018-04-27,176.79
2018-04-28,176.79
2018-04-29,176.79
2018-04-30,176.79
2018-05-01,176.92
2018-05-02,176.92
2018-05-03,176.92
2018-05-04,176.92
2018-05-05,176.92
2018-05-06,176.92
2018-05-07,176.92
2018-05-08,176.92
2018-05-09,176.92
2018-05-10,176.92
2018-05-11,176.92
2018-05-12,176.92
2018-05-13,176.92
2018-05-14,176.92
2018-05-15,176.92
2018-05-16,176.92
2018-05-17,176.92
2018-05-18,176.92
2018-05-19,176.92
2018-05-20,176.92
2018-05-21,176.92
2018-05-22,176.92
2018-05-23,176.92
2018-05-24,176.92
2018-05-25,176.92
2018-05-26,176.92
2018-05-27,176.92
2018-05-28,176.92
2018-05-29,176.92
2018-05-30,176.92
2018-05-31,176.92
2018-06-01,176.98
2018-06-02,176.98
2018-06-03,176.98
2018-06-04,176.98
2018-06-05,176.98
2018-06-06,176.98
2018-06-07,176.98
2018-06-08,176.98
2018-06-09,176.98
2018-06-10,176.98
2018-06-11,176.98
2018-06-12,176.98
2018-06-13,176.98
2018-06-14,176.98
2018-06-15,176.98
2018-06-16,176.98
2018-06-17,176.98
2018-06-18,176.98
2018-06-19,176.98
2018-06-20,176.98
2018-06-21,176.98
2018-06-22,176.98
2018-06-23,176.98
2018-06-24,176.98
2018-06-25,176.98
2018-06-26,176.98
2018-06-27,176.98
2018-06-28,176.98
2018-06-29,176.98
2018-06-30,176.98
2018-07-01,176.98
2018-07-02,176.98
2018-07-03,176.98
2018-07-04,176.98
2018-07-05,176.98
2018-07-06,176.98
2018-07-07,176.98
2018-07-08,176.98
2018-07-09,176.98
2018-07-10,176.98
2018-07-11,176.98
2018-07-12,176.98
2018-07-13,176.98
2018-07-14,176.98
2018-07-15,176.98
2018-07-16,176.98
2018-07-17,176.98
2018-07-18,176.98
2018-07-19,176.98
2018-07-20,176.98
2018-07-21,176.98
2018-07-22,176.98
2018-07-23,176.98
2018-07-24,176.98
2018-07-25,176.98
2018-07-26,176.98
2018-07-27,176.98
2018-07-28,176.98
2018-07-29,176.98
2018-07-30,176.98
2018-07-31,176.98
2018-08-01,176.95
2018-08-02,176.95
2018-08-03,176.95
2018-08-04,176.95
2018-08-05,176.95
2018-08-06,176.95
2018-08-07,176.95
2018-08-08,176.95
2018-08-09,176.95
2018-08-10,176.95
2018-08-11,176.95
2018-08-12,176.95
2018-08-13,176.95
2018-08-14,176.95
2018-08-15,176.95
2018-08-16,176.95
2018-08-17,176.95
2018-08-18,176.95
2018-08-19,176.95
2018-08-20,176.95
2018-08-21,176.95
2018-08-22,176.95
2018-08-23,176.95
2018-08-24,176.95
2018-08-25,176.95
2018-08-26,176.95
2018-08-27,176.95
2018-08-28,176.95
2018-08-29,176.95
2018-08-30,176.95
2018-08-31,176.95
2018-09-01,176.94
2018-09-02,176.94
2018-09-03,176.94
2018-09-04,176.94
2018-09-05,176.94
2018-09-06,176.94
2018-09-07,176.94
2018-09-08,176.94
2018-09-09,176.94
2018-09-10,176.94
2018-09-11,176.94
2018-09-12,176.94
2018-09-13,176.94
2018-09-14,176.94
2018-09-15,176.94
2018-09-16,176.94
2018-09-17,176.94
2018-09-18,176.94
2018-09-19,176.94
2018-09-20,176.94
2018-09-21,176.94
2018-09-22,176.94
2018-09-23,176.94
2018-09-24,176.94
2018-09-25,176.94
2018-09-26,176.94
2018-09-27,176.94
2018-09-28,176.94
2018-09-29,176.94
2018-09-30,176.94
2018-10-01,176.9
2018-10-02,176.9
2018-10-03,176.9
2018-10-04,176.9
2018-10-05,176.9
2018-10-06,176.9
2018-10-07,176.9
2018-10-08,176.9
2018-10-09,176.9
2018-10-10,176.9
2018-10-11,176.9
2018-10-12,176.9
2018-10-13,176.9
2018-10-14,176.9
2018-10-15,176.9
2018-10-16,176.9
2018-10-17,176.9
2018-10-18,176.9
2018-10-19,176.9
2018-10-20,176.9
2018-10-21,176.9
2018-10-22,176.9
2018-10-23,176.9
2018-10-24,176.9
2018-10-25,176.9
2018-10-26,176.9
2018-10-27,176.9
2018-10-28,176.9
2018-10-29,176.9
2018-10-30,176.9
2018-10-31,176.9
2018-11-01,176.86
2018-11-02,176.86
2018-11-03,176.86
2018-11-04,176.86
2018-11-05,176.86
2018-11-06,176.86
2018-11-07,176.86
2018-11-08,176.86
2018-11-09,176.86
2018-11-10,176.86
