,mean,min,max,No. of invalid,,
PRCP,0.129079,0,2.2,4,,4/23/2000
T,54.95902,-6,93,9,,12/31/2000
,,,,,,
PRCP,0.110425,0,3.01,32,,1/1/2001
T,46.63426,-6,96,49,,4/26/2002
,,,,,,
PRCP,0.116854785,0,3.01,46,,
T,49.50369362,-6,96,58,,
