,mean,min,max,No. of invalid,,
PRCP,0.115202,0,2.12,15,,4/21/1989
T,50.75434,-16,97,72,,12/31/1990
,,,,,,
PRCP,0.104366,0,2.81,16,,1/1/1991
T,45.3344,-8,100,22,,5/1/1993
,,,,,,
PRCP,0.108930076,0,2.81,31,,
T,47.61725516,-16,100,94,,
