,mean,min,max,No. of invalid,,
PRCP,0.083553,0,2.68,0,,8/2/1939
T,49.15251,-16,104,0,,12/31/1940
,,,,,,
PRCP,0.101691,0,2.98,3,,1/1/1941
T,48.66131,-18,101,0,,7/14/1946
,,,,,,
PRCP,0.097990534,0,2.98,3,,
T,48.76152331,-18,104,0,,
