,mean,min,max,No. of invalid,,
PRCP,0.090974,0,2.91,3,,5/2/1961
T,48.63681,-14,101,12,,12/31/1970
,,,,,,
PRCP,0.123481,0,4,8,,1/1/1971
T,47.64,-18,97,26,,10/10/1974
,,,,,,
PRCP,0.100103766,0,4,11,,
T,48.35685053,-18,101,38,,
