,mean,min,max,No. of invalid
Temp (F),47.45991872628855,-13.0,99.0,0.0
Dewpt (F),36.87013270473197,-20.0,76.0,0.0
Wind Spd (mph),11.511865644395764,0.0,40.0,0.0
Wind Direction (deg),205.25160677779024,23.0,360.0,0.0
Peak Wind Gust(mph),nan,nan,nan,913.0
Atm Press (hPa),993.9453706128863,959.7,1022.7,0.0
Sea Lev Press (hPa),1016.987212486309,982.1,1047.8,0.0
Precip (in),0.0034716137276378243,0.0,2.06,0.0
