,mean,min,max,No. of invalid
Temp (F),50.00559655442483,-24.0,102.0,78.0
Dewpt (F),38.681688418646296,-39.0,82.0,144.0
Wind Spd (mph),10.156823876707305,0.0,67.0,9.0
Wind Direction (deg),184.79335040108464,0.0,360.0,42.0
Peak Wind Gust(mph),34.443096383657014,23.0,55.0,6765.0
Atm Press (hPa),994.3945042723407,958.0,1022.7,4826.0
Sea Lev Press (hPa),1017.26912532566,979.8,1047.3,4824.0
Precip (in),0.0041464502686824395,0.0,2.57,520.0
