,mean,min,max,No. of invalid
Temp (F),52.944893360398936,-6.0,92.0,2.0
Dewpt (F),43.469862349160145,-18.0,76.0,3.0
Wind Spd (mph),7.352839550996944,0.0,38.0,2.0
Wind Direction (deg),160.1839225556396,0.0,360.0,20.0
Peak Wind Gust(mph),27.577896693314308,16.0,48.0,463.0
Atm Press (hPa),989.144218524322,957.3,1012.3,2.0
Sea Lev Press (hPa),1015.7889088828076,983.4,1042.1,19.0
Precip (in),0.003241595466995925,0.0,1.35,13.0
