,mean,min,max,No. of invalid
Temp (F),51.38809479018385,-8.0,96.0,1.0
Dewpt (F),42.593490985128895,-18.0,78.0,8.0
Wind Spd (mph),7.404552620732699,0.0,36.0,1.0
Wind Direction (deg),157.77441933124484,0.0,360.0,57.0
Peak Wind Gust(mph),28.41552737679438,16.0,56.0,609.0
Atm Press (hPa),990.1510716035123,964.6,1014.7,2.0
Sea Lev Press (hPa),1016.9938257924881,991.7,1044.5,52.0
Precip (in),0.003648099729340187,0.0,1.14,27.0
