,mean,min,max,No. of invalid
Temp (F),55.73725625823452,1.0,104.0,32.0
Dewpt (F),41.82273668360625,-11.0,76.0,32.0
Wind Spd (mph),10.085818347370818,0.0,34.0,0.0
Wind Direction (deg),182.77785127460746,0.0,360.0,0.0
Peak Wind Gust(mph),33.319085262563526,21.0,45.0,377.0
Atm Press (hPa),993.2390905986798,966.5,1017.4,0.0
Sea Lev Press (hPa),1015.7470387074327,988.8,1043.0,5.0
Precip (in),0.002171268322320954,0.0,0.51,7.0
