,mean,min,max,No. of invalid
Temp (F),53.549606204291564,-6.0,94.0,0.0
Dewpt (F),41.062784631251844,-17.0,79.0,0.0
Wind Spd (mph),9.889495341180023,0.0,38.0,0.0
Wind Direction (deg),182.46687639351637,0.0,360.0,2.0
Peak Wind Gust(mph),33.76092722159247,17.0,61.0,1061.0
Atm Press (hPa),994.3622662754667,962.9,1019.1,1.0
Sea Lev Press (hPa),1016.9953123670026,984.7,1044.8,24.0
Precip (in),0.003948969997266848,0.0,1.9,25.0
