,mean,min,max,No. of invalid
Temp (F),55.21062058626464,-9.0,96.0,0.0
Dewpt (F),43.23888244132208,-16.0,79.0,0.0
Wind Spd (mph),9.686512732780443,0.0,38.0,0.0
Wind Direction (deg),177.8599560884538,0.0,360.0,0.0
Peak Wind Gust(mph),33.2493546531018,20.0,51.0,616.0
Atm Press (hPa),994.4032254439703,969.2,1019.1,5.0
Sea Lev Press (hPa),1016.9773271038782,991.2,1044.4,11.0
Precip (in),0.004289125685047156,0.0,1.14,13.0
