,mean,min,max,No. of invalid
Temp (F),48.638363573290725,-12.0,98.0,0.0
Dewpt (F),39.4364373966305,-23.0,77.0,0.0
Wind Spd (mph),8.61489650786309,0.0,31.0,0.0
Wind Direction (deg),170.0441271231661,0.0,360.0,20.0
Peak Wind Gust(mph),28.768568840579707,18.0,41.0,372.0
Atm Press (hPa),989.6138085888635,957.0,1010.7,1.0
Sea Lev Press (hPa),1016.5967736921547,985.2,1040.3,14.0
Precip (in),0.00294504093752822,0.0,0.59,13.0
