,mean,min,max,No. of invalid
Temp (F),50.14011008996338,0.0,93.0,1.0
Dewpt (F),39.27102227260603,-8.0,76.0,1.0
Wind Spd (mph),8.823688117714843,0.0,30.0,0.0
Wind Direction (deg),175.56841119036972,0.0,360.0,0.0
Peak Wind Gust(mph),28.848939393939393,20.0,44.0,322.0
Atm Press (hPa),993.551035678391,957.9,1012.1,3.0
Sea Lev Press (hPa),1016.267115510913,980.6,1037.1,0.0
Precip (in),0.0035788740245261985,0.0,0.78,2.0
