,mean,min,max,No. of invalid
Temp (F),42.349380813324686,-17.0,94.0,0.0
Dewpt (F),31.157757408609132,-21.0,73.0,0.0
Wind Spd (mph),9.921635031364914,0.0,38.0,0.0
Wind Direction (deg),190.13057506791284,0.0,360.0,0.0
Peak Wind Gust(mph),31.42158102766797,20.0,52.0,263.0
Atm Press (hPa),995.3697897002143,967.9,1017.1,0.0
Sea Lev Press (hPa),1018.4652674129353,990.0,1043.5,0.0
Precip (in),0.005505236908343657,0.0,0.55,0.0
