,mean,min,max,No. of invalid
Temp (F),47.557833031072285,-1.0,92.0,3.0
Dewpt (F),39.05946932930946,-9.0,77.0,3.0
Wind Spd (mph),6.836172235962472,0.0,33.0,3.0
Wind Direction (deg),157.94092791899686,0.0,360.0,14.0
Peak Wind Gust(mph),23.447583682526474,16.0,34.0,312.0
Atm Press (hPa),989.370793214799,952.0,1007.0,3.0
Sea Lev Press (hPa),1016.5256375496981,988.1,1036.8,24.0
Precip (in),0.0032480286685092176,0.0,0.7,16.0
