,mean,min,max,No. of invalid
Temp (F),51.905378715882996,0.0,91.0,3.0
Dewpt (F),39.863591520540915,-12.0,75.0,3.0
Wind Spd (mph),9.805886800496564,0.0,36.0,3.0
Wind Direction (deg),177.7123247232272,0.0,360.0,4.0
Peak Wind Gust(mph),32.219913419913425,19.0,46.0,365.0
Atm Press (hPa),995.6685935441369,968.9,1020.4,270.0
Sea Lev Press (hPa),1017.1345314349629,991.4,1045.9,7.0
Precip (in),0.0041206084475694195,0.0,0.75,45.0
