,mean,min,max,No. of invalid
Temp (F),53.27158922717101,-5.0,101.0,1.0
Dewpt (F),41.08683705376312,-13.0,78.0,1.0
Wind Spd (mph),9.338983781918564,0.0,38.0,0.0
Wind Direction (deg),176.37832306103527,0.0,360.0,0.0
Peak Wind Gust(mph),29.05967321700339,16.0,57.0,718.0
Atm Press (hPa),992.9876986973101,960.6,1011.4,1.0
Sea Lev Press (hPa),1015.5036508406635,981.7,1035.9,2.0
Precip (in),0.004510490459403503,0.0,1.54,16.0
